index	score	sentence1	sentence2
3486	0.6	یہ معاہدہ کئی سالوں سے جاری ہے ۔	آئی اے ای اے 4 سال سے ایران کی جوہری سرگرمیوں کی تحقیقات کر رہا ہے ۔
3487	3.2	عدم پھیلاؤ کی ذمہ داریوں پر عمل کرنے سے باہمی اعتماد میں اضافہ ہوگا اور جوہری توانائی میں بین الاقوامی تعاون کو فروغ ملے گا ۔	ژانگ یان نے کہا کہ تمام ممالک کو باہمی اعتماد کو بڑھانے اور جوہری توانائی میں بین الاقوامی تعاون کے لیے ایک بہتر ماحول پیدا کرنے کے لیے عدم پھیلاؤ کی ذمہ داریوں کی پابندی کرنی چاہیے ۔
3488	4	فرانسیسی توانائی اور ٹرانسپورٹ کمپنی آلسٹوم بیجنگ اور شانگھائی کے درمیان تیز رفتار ریل لنک بنانے کے معاہدے پر دستخط کر سکتی ہے ۔	آلسٹوم بیجنگ اور شانگھائی کے درمیان تیز رفتار ریل لنک بنانے کے معاہدے پر دستخط کر سکتا ہے ۔
3489	2	دہائیوں میں کوئی دوسری دوا اتنی لازمی نہیں بنی ہے ۔	یہ دوا برسوں سے دوسری شکلوں میں موجود ہے ۔
3490	3.4	جوہری توانائی کے بین الاقوامی ادارے نے ایرانی حکام کے ساتھ ایک معاہدہ کیا جس میں کہا گیا کہ ایران کے جوہری پروگرام اور سرگرمیوں کے حوالے سے کوئی مسائل اور ابہام باقی نہیں ہیں ۔	معاہدے میں کہا گیا کہ ایران کے جوہری پروگرام اور سرگرمیوں کے حوالے سے کوئی مسائل اور ابہام باقی نہیں ہیں ۔
3491	3.8	بیجنگ پولیس نے شہر کے ایک مشہور علاقے میں 2 پبوں میں منشیات کے استعمال اور اسمگلنگ کے شبہ میں 8 غیر ملکیوں سمیت 20 سے زائد افراد کو گرفتار کیا ہے ۔	بیجنگ پولیس نے شہر کے مرکز میں 2 سلاخوں میں منشیات کے استعمال اور اسمگلنگ کے شبہ میں 20 سے زائد افراد کو گرفتار کیا ۔
3492	4.2	روس نے 2004 میں تازہ ترین معاہدے کی توثیق کی لیکن ریاستہائے متحدہ اور نیٹو کے دیگر ارکان نے یہ دلیل دیتے ہوئے ایسا کرنے سے انکار کر دیا کہ ماسکو کو پہلے جارجیا اور مولڈووا کے علیحدگی پسند علاقے ٹرانس ڈینیسٹر سے افواج کے انخلا کی ذمہ داریوں کو پورا کرنا ہوگا ۔	روس نے ترمیم شدہ ورژن کی توثیق کی ہے لیکن امریکہ اور نیٹو کے دیگر ارکان نے اس وقت تک ایسا کرنے سے انکار کر دیا ہے جب تک کہ روسی حکومت سابق سوویت جمہوریہ مالڈووا اور جارجیا سے فوجیں واپس نہیں لے لیتی ۔
3493	3.2	شورش سے ہونے والے نقصان کی حد کے بارے میں متضاد رائے ہے ۔	باغی گروہوں کو ہونے والے نقصان کی حد کے بارے میں متضاد رائے کے باوجود تشدد جاری ہے ۔
3494	5	صوبہ ہیلمند دنیا کا سب سے بڑا افیون پیدا کرنے والا خطہ ہے ۔	صوبہ ہیلمند دنیا میں افیون پیدا کرنے والا سب سے بڑا صوبہ ہے ۔
3495	1.8	پولیس نے بتایا کہ سائی وین ہوانگ کو تائیوان کے حوالے کیا جائے گا ۔	پولیس نے بتایا کہ چنگ فرار ہے۔
3496	1.6	گرفتار افراد میں سے 2 کو رہا کر دیا گیا ۔	گرفتار کیے گئے زمبی باشندوں میں سے 2 نابالغ ہیں ۔
3497	4.6	میکسیکو کے صدر فلپ کالڈرون نے اعلی درجے کے منظم جرائم اور منشیات کی اسمگلنگ کی وجہ سے 2800 خصوصی ایجنٹوں اور فوجیوں کو سینالوا بھیجا ہے ۔	میکسیکو کے صدر فلپ کالڈرون نے منشیات کی اسمگلنگ سے لڑنے کے لیے 2800 خصوصی ایجنٹوں اور فوجیوں کو سینالوا بھیجا ہے ۔
3498	1.8	برلن اکتوبر میں اعلی سطح کے اجلاسوں کی میزبانی کرے گا تاکہ یورپ میں کلیدی یورپی ہتھیاروں پر قابو پانے کے معاہدے کی روایتی قوتوں کو بچایا جا سکے ۔	روس نے ایک اہم یورپی ہتھیاروں پر قابو پانے کے معاہدے میں اپنی شرکت معطل کر دی ہے جو یورپ میں فوجیوں کی تعیناتی کو کنٹرول کرتا ہے ۔
3499	1.8	او ایس سی کا اجلاس دو دن تک جاری رہا ۔	او ایس سی ای کا اجلاس میڈرڈ میں ہوا۔
3500	4.8	سی ایف ای معاہدہ 1990 میں ہوا تھا ۔	سی ایف ای معاہدہ 1990 میں قائم کیا گیا تھا ۔
3501	4.4	ایران کا اصرار ہے کہ یہ پروگرام صرف پرامن مقاصد کے لیے ہے، جیسے توانائی کی پیداوار۔	ایران کا اصرار ہے کہ اس کا جوہری پروگرام پرامن مقاصد کے لیے ہے
3502	3.4	چین عالمی امن کے تحفظ کے لیے ایک اہم قوت ہے ۔	چین عالمی ترقی کو فروغ دینے کے لیے ایک اہم قوت ہے ۔
3503	4.4	شمالی کوریا شام میں کسی بھی جوہری پروگرام میں ملوث ہونے کی تردید کرتا ہے ۔	شمالی کوریا شام کے کسی بھی جوہری منصوبے میں ملوث ہونے کی تردید کرتا ہے ۔
3504	1.2	اسٹاک ویل ڈے کا ترجمان تبصرے کے لیے فوری طور پر دستیاب نہیں تھا۔	چینی حکام فوری طور پر تبصرہ کے لیے دستیاب نہیں تھے ۔
3505	3.8	کم میونگ چول نے خبردار کیا کہ اگر شمالی کوریا کے جہازوں پر پابندی لگائی گئی تو شمالی کوریا کی حکومت نیویارک اور واشنگٹن جیسے بڑے شہروں پر جوہری میزائل حملے کے ساتھ جوابی کارروائی کرے گی ۔	کم میونگ چول نے کہا کہ شمالی کوریا نیویارک اور واشنگٹن ڈی سی جیسے بڑے شہروں پر جوہری میزائل حملے کے ساتھ جوابی کارروائی کرے گا ۔
3506	3.8	ایران چین کے بعد دنیا میں سزائے موت کا سب سے زیادہ استعمال کرنے والا ملک ہے ۔	اسلامی جمہوریہ چین کے بعد دنیا میں سزائے موت کا سب سے زیادہ استعمال کرنے والا ملک ہے ۔
3507	1.4	جان ڈنکن کثیرالجہتی ہتھیاروں کے کنٹرول اور تخفیف اسلحہ کے لیے برطانیہ کے سفیر ہیں ۔	اقوام متحدہ کی اسمبلی میں چینی حکومت عالمی ہتھیاروں کے کنٹرول اور تخفیف اسلحہ کے لیے کوششوں میں اضافے پر زور دیتی ہے ۔
3508	4	سوویت یونین کے خاتمے کے بعد 1999 میں اس معاہدے میں ترمیم کی گئی تھی ۔	سوویت کے ٹوٹنے کے بعد سے ہونے والی تبدیلیوں کی عکاسی کرنے کے لیے 1999 میں معاہدے میں ترمیم کی گئی تھی ۔
3509	4.4	کشمیر ہندوستان اور پاکستان کے درمیان تقسیم ہے ۔	کشمیر پر ہندوستان اور پاکستان دونوں دعوی کرتے ہیں ۔
3510	1.4	جنوبی کوریا اور اسرائیل بڑے پیمانے پر تباہی پھیلانے والے ہتھیاروں کے پھیلاؤ اور ہتھیاروں کی دوڑ کی مخالفت کرتے ہیں ۔	چین بڑے پیمانے پر تباہ کن ہتھیاروں کے پھیلاؤ کی سختی سے مخالفت کرے گا ۔
3511	3.4	قذافی نے خبردار کیا ہے کہ ہم اور برطانیہ کی جانب سے لیبیا کو جوہری تخفیف اسلحہ کی تلافی کرنے میں ناکامی ایران اور شمالی کوریا کو تخفیف اسلحہ سے روکے گی ۔	مغربی ممالک کی لیبیا کو مناسب معاوضہ دینے میں ناکامی ایران اور شمالی کوریا کو تخفیف اسلحہ سے روکے گی ۔
3512	3.4	روس نے ترمیم شدہ معاہدے کی توثیق کی ۔	روس نے 2004 میں تازہ ترین معاہدے کی توثیق کی ۔
3513	3.4	30 ماہرین کا عملہ سائبر وارفیئر پر تحقیق اور تربیت کرے گا اور مستقبل کے کسی بھی سائبر حملے کے جواب میں نیٹو اراکین کی مدد کے لیے تیار رہے گا ۔	30 ماہرین کا عملہ سائبر وارفیئر پر تحقیق اور تربیت کرے گا ۔
3514	3	جماعت اسلامی کے یوتھ ونگ نے کشمیر میں ایک علیحدہ مظاہرہ کیا ۔	جماعت اسلامی کے یوتھ ونگ کا مظاہرہ عراق پر امریکی حملے کے خلاف تھا ۔
3515	3.8	ایران چین کے بعد دنیا میں سزائے موت کا سب سے زیادہ استعمال کرنے والا ملک ہے ۔	اسلامی جمہوریہ چین کے بعد دنیا میں سزائے موت کا سب سے زیادہ استعمال کرنے والا ملک ہے ۔
3516	4.4	چین بڑے پیمانے پر تباہ کن ہتھیاروں کی فراہمی کے ذرائع کی سختی سے مخالفت کرے گا ۔	چین نے ہمیشہ بڑے پیمانے پر تباہی پھیلانے والے ہتھیاروں کے پھیلاؤ کی مخالفت کی ہے ۔
3517	3.4	چین میں نظم و ضبط کی خرابی اہم عالمی افراتفری کا باعث بنے گی ۔	چین میں نظم و ضبط کا ٹوٹنا افغانستان یا یوگوسلاویا سے بھی بدتر ہوگا ۔
3518	4	شمالی کوریا نے جوہری عزائم کا دعوی کیا ہے اور فی الحال شمالی کوریا کے پاس جاپان کو نشانہ بنانے والے میزائل ہونے کی اطلاع ہے ۔	شمالی کوریا نے جوہری عزائم پر فخر کیا ہے اور اب اطلاع ہے کہ اس کے میزائل جاپان کو نشانہ بنائے ہوئے ہیں
3519	0.8	ابوجا دارالحکومت ہے۔	سکھنوالی جارجیا کا دارالحکومت ہے ۔
3520	4.6	امریکی حکومت نے ایرانی حکومت پر الزام لگایا ہے کہ وہ سویلین جوہری پروگرام کی آڑ میں جوہری ہتھیار تیار کرنے کی کوشش کر رہی ہے ۔	امریکہ اور اتحادیوں نے ایران پر الزام لگایا ہے کہ وہ شہری جوہری پروگرام کی آڑ میں جوہری ہتھیار تیار کرنے کی کوشش کر رہا ہے ۔
3521	1	ترانہ دارالحکومت ہے	ابوجا دارالحکومت ہے
3522	3.2	ایک مسلح تصادم میں ایرانی پولیس نے 4 مبینہ منشیات فروشوں کو ہلاک کر دیا ۔ 2 افراد کو گرفتار کیا اور تقریبا 5 میٹرک ٹن افیون اور مورفین ضبط کی ۔	جنوب مشرقی ایران میں مسلح جھڑپوں کے دوران پولیس نے تقریبا 5 میٹرک ٹن ( 5. 5 ٹن ) افیون اور مورفین ضبط کی ۔
3523	3.6	ایران کے جوہری منصوبے پرامن مقاصد کے لیے ہیں ۔	ایران کا اصرار ہے کہ اس کا جوہری پروگرام پرامن مقاصد کے لیے ہے
3524	4.2	چین بڑے پیمانے پر تباہ کن ہتھیاروں کے پھیلاؤ کی سختی سے مخالفت کرے گا ۔	چین بڑے پیمانے پر تباہ کن ہتھیاروں کی فراہمی کے ذرائع کی سختی سے مخالفت کرے گا ۔
3525	1.2	چین شمالی کوریا کا قریب ترین اتحادی ہے ۔	شمالی کوریا ایک الگ تھلگ ریاست ہے ۔
3526	4.2	لیبیا کے وزیر خارجہ عبدل رحمان شالگام نے 1969 کے بعد لیبیا کے وزیر خارجہ کے پہلے دورے کے دوران لندن کا دورہ کیا ۔	شالگام کا لندن کا دورہ 1969 کے بعد لیبیا کے کسی وزیر خارجہ کا پہلا دورہ ہے ۔
3527	3.6	گوف نے کہا کہ یہ عالمی سلامتی کے لیے ایک بڑا خطرہ ہے ۔	یہ عالمی سلامتی کے لیے ایک بڑا خطرہ ہے ۔
3528	2	کمبوڈیا اور ویت نام نے ایشیائی اور یورپی منشیات کے اسمگلروں کو روکنے کے لیے ایک معاہدے کو حتمی شکل دی ۔	شامی اور روسی حکام نے منشیات کی اسمگلنگ سے نمٹنے کے لیے تعاون کے معاہدے پر دستخط کیے ۔
3529	4.2	کارکنوں نے کہا ہے کہ روس غیر قانونی سرگرمی کے ثبوت کے بغیر لوگوں کو قید کر رہا ہے ۔	روس غیر قانونی سرگرمی کے ثبوت کے بغیر لوگوں کو قید کرتا ہے ۔
3530	3.8	انتہا پسند گروہوں کو روکنا تیزی سے مشکل ہوتا جا رہا ہے کیونکہ گروہوں کو کس طرح مالی اعانت فراہم کی جاتی ہے ۔	بروگیئر نے کہا - انتہا پسند گروہوں کو روکنا خاص طور پر پورے یورپ میں تیزی سے مشکل ہوتا جا رہا تھا کیونکہ گروہوں کو کس طرح مالی اعانت فراہم کی جاتی ہے ۔
3531	1.2	زبول جنوب مشرقی ایران کا ایک قصبہ ہے ۔	خرم آباد مغربی ایران کا ایک شہر ہے ۔
3532	3.25	زیر حراست افراد پر قتل ، مجرمانہ تعاون ، اغوا اور دہشت گردی کی مالی اعانت کا الزام عائد کیا جائے گا اور ان میں فوج اور پولیس کے ارکان شامل ہوں گے ۔	ایگوارن نے کہا کہ زیر حراست افراد پر قتل عام ، مجرمانہ تعاون ، اغوا اور دہشت گردی کی مالی اعانت کا الزام عائد کیا جائے گا ۔
3533	4.2	موجودہ سلاخوں سے 6 سے 8 ماہ میں 3 سے 6 ایٹم بم تیار کیے جا سکتے ہیں ۔	ماہرین کا کہنا تھا کہ یہ سلاخیں 6 سے 8 ماہ میں 3 سے 6 ایٹم بم تیار کر سکتی ہیں ۔
3534	2.4	ہو سکتا ہے کہ جوہری توانائی کی بین الاقوامی ایجنسی کو دھوکہ دیا گیا ہو کیونکہ وہ کسی معاہدے کے لیے بے چین تھی ۔	بین الاقوامی جوہری توانائی ایجنسی کے منصوبے سے مذاکرات کئی مہینوں تک کھنچ جاتے ہیں۔
3535	4.6	میانمار کی حکومت نے کہا ہے کہ میانمار 2014 تک افیون سے پاک ہو جائے گا ۔	میانمار کی حکومت نے کہا کہ میانمار 2014 تک منشیات سے پاک ہونے کی راہ پر گامزن ہے ۔
3536	4.4	یہودی - امریکی گروپ اینٹی ڈیفیمیشن لیگ ( ایڈیل ) نے اپریل 2008 میں سوئس اور بین الاقوامی اخبارات میں پورے صفحے کے اشتہارات شائع کیے جس میں سوئٹزرلینڈ پر معاہدے کے ذریعے دہشت گردی کی مالی اعانت کا الزام لگایا گیا ۔	اینٹی ڈیفیمیشن لیگ نے اپریل 2008 کے اوائل میں سوئس اور بین الاقوامی اخبارات میں پورے صفحے کے اشتہارات نکالے تھے جن میں سوئٹزرلینڈ پر معاہدے کے ذریعے دہشت گردی کی مالی اعانت کا الزام لگایا گیا تھا ۔
3537	1.8	فرانس راکٹ بندوقیں اور انجن فراہم کرتا ہے ۔	برطانیہ ایندھن کے ٹینک اور گیئر بکس فراہم کرتا ہے ۔
3538	3.2	سعودی عرب میں بڑے جرائم میں عصمت دری ، قتل ، ارتداد ، مسلح ڈکیتی اور منشیات کی اسمگلنگ شامل ہیں ۔	ایران میں بڑے جرائم میں قتل ، عصمت دری ، مسلح ڈکیتی ، سنگین منشیات کی اسمگلنگ اور بدکاری شامل ہیں ۔
3539	3.4	بی اے سسٹمز برطانیہ کی سب سے بڑی دفاعی کمپنی ہے ۔	بی اے ای سسٹم برطانیہ کی سب سے بڑی فوج ہے
3540	2.8	لاوروف نے ہمیں سیکرٹری آف اسٹیٹ کونڈولیزا رائس سے کہا ہے کہ روس بات چیت کے لیے کھلا ہے ۔	امریکی وزیر خارجہ کونڈولیزا رائس نے روس سے اپنی افواج کے انخلا کا مطالبہ کیا ۔
3541	3.8	اضافی افراد اور ادارے اثاثوں کو منجمد کرنے کے تابع ہیں ۔	قرارداد میں اثاثوں کو منجمد کرنے کے تابع افراد اور اداروں کی ایک وسیع فہرست شامل ہے ۔
3542	3.4	معاہدے سے دستبرداری روس کو روسی سرحدوں کے قریب افواج کو مضبوط کرنے کا موقع فراہم کرے گی ۔	یورپ کے معاہدے میں روایتی افواج سے انخلا روس کو روسی سرحدوں کے قریب افواج کو مضبوط کرنے کا موقع فراہم کرے گا ۔
3543	1.8	فین نے کہا کہ کمیشن بنیادی طور پر تائیوان میں مستقبل کی سرمایہ کاری کی مدت سے متعلق ہے ۔	فین نے کہا کہ کمیشن اس بات کو یقینی بنائے گا کہ سرمایہ کاری شروع ہونے کے بعد وعدوں کو برقرار رکھا جائے ۔
3544	2.8	حکومتی ترجمان میسیکو نے کہا کہ اگر انتظامی کاغذات ترتیب میں ہیں تو جنوبی افریقہ کی حکومت مداخلت نہیں کر سکتی تاکہ ہتھیاروں کو اس کے علاقے سے پڑوسی ملک میں منتقل ہونے سے روکا جا سکے ۔	ترجمان تھیمبا میسیکو نے کہا کہ جب تک انتظامی کاغذات ترتیب میں ہیں جنوبی افریقہ جنوبی افریقہ کے علاقے سے زمبابوے میں ہتھیاروں کی نقل و حمل کو روکنے کے لیے مداخلت نہیں کر سکتا ۔
3545	3.2	صدر دمتری میدویدیف کا بیان کریملن ویب سائٹ پر پوسٹ کیا گیا اور ریاستی خبر رساں ایجنسیوں نے اسے مکمل طور پر جاری کیا ۔	یہ بیان کریملن ویب سائٹ پر پوسٹ کیا گیا اور ریاستی خبر رساں ایجنسیوں نے اسے جاری کیا ۔
3546	1.8	ترکمانستان کی سرحد افغانستان سے ملتی ہے ۔	سیستان و بلوچستان کی سرحدیں افغانستان اور پاکستان سے ملتی ہیں۔
3547	3.4	ایران میں گزشتہ سال ایک مہم کے دوران سزائے موت کی تعداد میں اضافہ ہوا جس کا مقصد معاشرے میں سلامتی کو بہتر بنانا ہے ۔	سزائے موت کی تعداد میں 2007 میں ایک مہم کے دوران ڈرامائی طور پر اضافہ ہوا جس کے بارے میں ایرانی حکام کا کہنا ہے کہ اس کا مقصد معاشرے میں سلامتی کو بہتر بنانا ہے ۔
3548	5	شام غیر اعلانیہ جوہری پروگرام کی تردید کرتا ہے ۔	شام غیر اعلانیہ جوہری پروگرام کے وجود کی تردید کرتا ہے ۔
3549	1.4	ایمنسٹی انٹرنیشنل لندن میں مقیم حقوق کا ایک گروپ ہے ۔	انٹرنیشنل انسٹی ٹیوٹ فار اسٹریٹجک اسٹڈیز لندن میں واقع ہے ۔
3550	2.2	عدد 254 کو پریس اور عینی شاہدین کی رپورٹس سے مرتب کردہ اے ایف پی گنتی کی بنیاد پر شمار کیا گیا تھا	2007 میں ایران میں پھانسیوں کی تعداد کا حساب پریس رپورٹس سے مرتب کردہ اے ایف پی گنتی سے لگایا گیا تھا ۔
3551	5	ایرانی حکومت نے کہا - ایرانی جوہری پروگرام پرامن ہے ۔	ایرانی حکومت کا کہنا ہے کہ جوہری پروگرام پرامن ہے ۔
3552	0.6	شنگاریف نے کہا کہ اس ایندھن میں پلوٹونیم سے جوہری ہتھیار بنانا بہت مشکل ہے ۔	ڈونوہو نے کہا کہ راستہ چھوڑے بغیر تابکار آاسوٹوپس کو جوڑنا بہت مشکل ہے ۔
3553	0.6	پیرس فرانس کا دارالحکومت ہے ۔	لیما دارالحکومت ہے
3554	3.4	ہندوستانی حکومت کے ایک عہدیدار نے نام ظاہر نہ کرنے کی شرط پر یہ بات کہی ۔	عہدیدار نے نام ظاہر نہ کرنے کی شرط پر یہ بات کہی ۔
3555	4.6	روس نے کئی بار سی ایف ای سے دستبردار ہونے کی دھمکی دی تھی جب وہ مشرق میں میزائل ڈیفنس شیلڈ نصب کرنے کے امریکی منصوبوں پر امریکہ سے متصادم تھا ۔	روس نے مشرقی یورپ تک امریکی میزائل دفاعی ڈھال کی توسیع کے منصوبوں کی مخالفت میں بار بار سی ایف ای سے دستبرداری کی دھمکی دی ہے ۔
3556	1.8	تیونس کے لیے منصوبہ ٹیکس وصولی کو آسان بنانے کے لیے الیکٹرانک ڈیٹا بیس کی تخلیق ہے ۔	نائجیریا اور موزامبیق کے لیے منصوبہ رئیل اسٹیٹ کے لیے ایک الیکٹرانک ڈیٹا بیس بنانا ہے ۔
3557	4.2	بین الاقوامی برادری نے جزیرہ نما کوریا کے جوہری مسئلے کو حل کرنے کی کوششوں پر چین کی تعریف کی ہے ۔	چین کو جزیرہ نما کوریا کے جوہری مسئلے کو حل کرنے کی کوششوں کے لیے خاص طور پر ایشیا پیسیفک کی ریاستوں نے سراہا ہے ۔
3558	2.6	روسی وزارت خارجہ نے کہا کہ روس نے مذاکرات معطل نہیں کیے ہیں ۔	روسی حکام نے کہا کہ روس معطلی پر دوبارہ غور نہیں کرے گا ۔
3559	2.8	ہتھیاروں کے اسمگلروں اور منشیات کے کارٹلوں کو جنوب مشرقی ایشیا سے ختم کیا جانا چاہیے ۔	ہتھیاروں کے اسمگلروں اور منشیات کے کارٹلوں نے دہشت گردوں کو مدد فراہم کی ۔
3560	4.8	نیا قانون مزید جدید جاسوس سیٹلائٹس کی تعمیر میں کسی بھی قانونی رکاوٹوں کو دور کرنے اور جاپان کی خلائی صنعت میں جدت طرازی میں مدد کرنے کی کوشش کرتا ہے ۔	نئے قانون کا مقصد زیادہ جدید جاسوس سیٹلائٹ بنانے میں آنے والی کسی بھی قانونی رکاوٹ کو دور کرنا اور جاپان کی خلائی صنعت میں جدت طرازی کی حوصلہ افزائی کرنا ہے ۔
3561	4.4	ژانگ نے کہا - چین عدم پھیلاؤ کی بنیاد پر غیر جوہری ہتھیار رکھنے والی ریاستوں کے ذریعے جوہری توانائی کے پرامن استعمال کو محدود کرنے کی مخالفت کرتا ہے کیونکہ جوہری توانائی کا پرامن استعمال این پی ٹی کا ایک اہم مقصد ہے ۔	ژانگ یان نے کہا کہ چین جوہری توانائی کے پرامن استعمال کے حق سے غیر جوہری ہتھیار رکھنے والی ریاستوں کو محدود کرنے اور محروم کرنے کے بہانے کے طور پر عدم پھیلاؤ کو استعمال کرنے کی مخالفت کرتا ہے ۔
3562	4	انٹرنیشنل انسٹی ٹیوٹ فار اسٹریٹجک اسٹڈیز کے عدم پھیلاؤ کے ماہر مارک فٹز پیٹرک نے کہا کہ آئی اے ای اے کی رپورٹ - غیر معمولی طور پر مضبوط تھی ۔	انٹرنیشنل انسٹی ٹیوٹ فار اسٹریٹجک اسٹڈیز کے سینئر فیلو مارک فٹز پیٹرک نے کہا کہ - - بین الاقوامی جوہری توانائی ایجنسی کا منصوبہ سطحی ہے ۔
3563	4.2	یہ معاہدہ یورپ کے آس پاس طیاروں کے ٹینکوں اور دیگر غیر جوہری بھاری ہتھیاروں کی تعداد کو محدود کرتا ہے ۔	یورپ کے معاہدے میں روایتی قوتیں یورپ میں فوجی طیاروں کے ٹینکوں اور دیگر غیر جوہری بھاری ہتھیاروں کی تعداد کو محدود کرتی ہیں ۔
3564	3.8	ایسٹونین حکام نے بتایا کہ کچھ سائبر حملے جن کی وجہ سے ایسٹونین کی سرکاری ویب سائٹیں عارضی طور پر بند ہوگئیں وہ روس کی انتظامیہ کے کمپیوٹرز سے ہوئے جن میں صدر ولادیمیر پوتن کا دفتر بھی شامل ہے ۔	ایسٹونیا میں وزیر اعظم اینڈرس انسیپ سمیت حکام نے دعوی کیا ہے کہ کچھ سائبر حملے روسی حکومت کے کمپیوٹرز سے ہوئے جن میں روسی صدر ولادیمیر پوتن کے دفتر میں موجود کمپیوٹر بھی شامل ہیں ۔
3565	3.2	برطانیہ نے ایک اندازے کے مطابق 8 بلین پاؤنڈ ( تقریبا 13. 9 بلین امریکی ڈالر ) کے معاہدے میں سعودی عرب کو ٹائیفون جیٹ طیاروں کی فراہمی کا معاہدہ کیا ہے ۔	برطانیہ نے برطانیہ کی دفاعی کمپنی بی اے ای سسٹمز کو ایک اندازے کے مطابق 8 بلین پاؤنڈ ( تقریبا 13. 9 بلین امریکی ڈالر ) کے معاہدے میں سعودی عرب کو ٹائیفون جیٹ طیاروں کی فراہمی پر اتفاق کیا ۔
3566	3.4	افیون ہیروئن کا خام جزو ہے ۔	پوست سے ہیروئن کے لیے خام اجزاء حاصل ہوتے تھے ۔
3567	3	وائی سنگ لیک نے شمالی کوریا کے جوہری ری ایکٹر منصوبے کے بارے میں کوئی تفصیلات دینے سے انکار کر دیا ۔	جنوبی کوریا نے اب تک شمالی کوریا کے جوہری ری ایکٹر منصوبے کے معاملے پر محتاط موقف اختیار کیا ہے ۔
3568	3.4	اس معاہدے کا مقصد قومی سلامتی اور عالمی دہشت گردی کے خلاف جنگ کا احاطہ کرتے ہوئے وسیع تر تعاون قائم کرنا تھا ۔	برطانوی وزارت دفاع نے ایک بیان میں کہا کہ اس معاہدے کا مقصد قومی سلامتی اور عالمی دہشت گردی کے خلاف جنگ کا احاطہ کرتے ہوئے وسیع تر تعاون قائم کرنا ہے ۔
3569	3.4	ایران میں پھانسی دیے جانے والوں میں سے بہت سے لوگوں کو عوام میں پھانسی دی جاتی ہے ۔	پھانسی دیے جانے والے بہت سے لوگوں کو عوام میں پھانسی دی جاتی ہے ۔
3570	3.8	امریکہ اور امریکہ کے اتحادیوں کا خیال ہے کہ ایران جوہری ہتھیاروں کا تعاقب کر رہا ہے ۔	امریکہ اور کچھ یورپی ممالک کا خیال ہے کہ ایران کے جوہری منصوبے جوہری ہتھیار بنانے کے مقصد سے ہیں ۔
3571	5	سی ایف ای یورپی سلامتی کے لیے بہت اہم ہے ۔	سی ایف ای یورپی سلامتی کا سنگ بنیاد ہے ۔
3572	5	کشمیر میں باغیوں سے پہلے ہی لڑ رہے ہندوستانی فوجی اب خطے میں پوست کی فصلوں کو تباہ کرنے کے لیے ایک بڑے پیمانے پر مہم میں مصروف ہیں ۔	پہلے سے ہی باغیوں سے لڑ رہے ہندوستانی فوجی اب کشمیر میں پوست کی فصلوں کو تباہ کرنے کے لیے بڑے پیمانے پر آپریشن میں مصروف ہیں ۔
3573	0	معاملہ نازک ہے ۔	آئی آئی اے ای اے کی رپورٹ محدود ہے ۔
3574	2.4	پچھلے ہفتے روس نے اعلان کیا کہ وہ سی ایف ای میں شرکت معطل کر دے گا ۔	نیٹو کو روس کے سی ایف ای میں شرکت معطل کرنے کے فیصلے پر افسوس ہے ۔
3575	3.6	امریکہ کے دیگر مغربی ممالک اور نیٹو نے تشدد کی مذمت کی ۔	امریکہ کے دیگر مغربی ممالک اور نیٹو نے جنگ بندی کا مطالبہ کیا ۔
3576	2	نیپال کی جیلوں میں غیر ملکی قیدیوں کی سب سے بڑی تعداد ہندوستانی شہریوں کی ہے ۔	نیپال میں غیر ملکی قیدیوں کی سب سے بڑی تعداد بیرون ممالک سے منشیات کے اسمگلروں پر مشتمل ہے ۔
3577	4.2	عدالتی حکم نامے میں راگھڈ پر دہشت گردی کی مالی اعانت کا الزام لگایا گیا ۔	عدالت نے راگھڈ صدام حسین پر دہشت گردی کی مالی اعانت کا الزام عائد کیا ۔
3578	3.75	میانمار کے فوجی حکمرانوں نے منشیات کے غلط استعمال اور غیر قانونی اسمگلنگ کے خلاف بین الاقوامی دن کے موقع پر تقریبا 250 ملین ڈالر مالیت کی غیر قانونی منشیات کو جلا دیا ۔	میانمار کے فوجی حکمرانوں نے منشیات کے غلط استعمال اور غیر قانونی اسمگلنگ کے خلاف بین الاقوامی دن کے موقع پر منشیات کو جلا دیا ۔
3579	4	ایرانی حکام نے 2007 میں سزائے موت میں اضافہ کیا ہے کیونکہ حکام ایک مہم کو نافذ کرتے ہیں جس کا مقصد مبینہ طور پر فضیلت کو فروغ دینا اور معاشرے میں سلامتی کو بڑھانا ہے ۔	ایران میں گزشتہ سال ایک مہم کے دوران سزائے موت کی تعداد میں اضافہ ہوا جس کا مقصد معاشرے میں سلامتی کو بہتر بنانا ہے ۔
3580	3	ہندوستان اسلام آباد پر گوریلاوں کو مالی اعانت اور تربیت دینے کا الزام لگاتا ہے ۔	بھارت پاکستان پر سرحد پار گوریلا کو مالی اعانت اور تربیت دینے کا الزام لگاتا ہے ۔
3581	3.6	اس کے نتیجے میں ہونے والی لڑائی اور فضائی حملوں میں کم از کم 10 عسکریت پسند مارے گئے ۔	اس کے نتیجے میں ہونے والی لڑائی میں کم از کم 10 عسکریت پسند مارے گئے ۔
